Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link,顶级域名,评论表单检测,特殊标注,最新评论时间
83,,https://e-piksel.com/,https://elgoog.im/underwater,,0,0,False,False,False,True,False,False,False,False,2025-10-23,2026-07-03,False,True,e-piksel.com,无评论功能,,
76,Arabamda Yok Yok,https://www.arabamda.com/,https://elgoog.im/zergrush,E-Piksel,2,170,False,False,False,True,False,False,False,True,2026-03-01,2026-05-01,False,True,arabamda.com,无评论功能,,
74,Bakım Modu,https://www.maviambar.com/,https://elgoog.im/breakout/,E-Piksel,4,69,False,False,False,True,False,False,False,False,2026-01-02,2026-01-22,False,True,maviambar.com,访问失败,,
71,"Bursa Doğalgaz Tesisatı – Kombi, Petek, Proje, Satış Hizmeti-ısıtma sistemleri",https://bursadogalgaztesisatci.com/,https://elgoog.im/zergrush,E-Piksel,2,125,False,False,False,True,False,False,False,True,2026-03-19,2026-04-30,False,True,bursadogalgaztesisatci.com,游戏站,游戏网站,
68,Meet-the-Teacher | Making the Most of First Impressions,https://howdoesshe.com/winning-meet-the-teacher-night/,https://spacewavesgame.io/,Space Waves,9,137,True,False,False,True,False,False,False,False,2026-01-13,2026-01-31,False,True,howdoesshe.com,博客网站,,
68,I Liceum Ogólnokształcące im. KEN,https://loken.pl/,https://elgoog.im/,,21,73,False,False,False,False,False,False,True,False,2026-04-10,2026-04-10,False,False,loken.pl,无评论功能,,
64,"Long-Buried Google Easter Eggs, Restored – elgooG",https://elgoog.im/,https://elgoog.im/,FI,24,51,False,False,False,True,False,False,False,False,2026-05-12,2026-06-11,False,False,elgoog.im,无评论功能,,
63,Google - Wikipedia,https://it.wikipedia.org/wiki/Google,https://elgoog.im/,elgoog.im,238,1628,True,False,False,True,False,False,False,False,2025-04-25,2026-05-25,False,False,wikipedia.org,游戏站,游戏网站,
63,Geometry Dash Meltdown,https://geometry-dashmeltdown.co/,https://spacewavesgame.io/,Space Waves,2,86,False,False,False,True,False,False,False,False,2025-12-05,2026-06-28,False,False,geometry-dashmeltdown.co,无评论功能,,
61,Bing™ Wallpaper Gallery,https://bing.wallpaper.pics/,https://elgoog.im/pacman,Pac-Man,7,10,False,False,False,True,False,False,False,True,2024-02-17,2026-03-23,False,False,wallpaper.pics,无评论功能,,
60,IP Location - IP Address Geolocation Lookup!,https://iploc.org/,https://elgoog.im/gravity/,,10,2,False,False,False,True,False,False,False,False,2025-07-26,2026-06-23,False,False,iploc.org,无评论功能,,
60,Bing Mirror - gnib,https://gnib.org/,https://elgoog.im/underwater/,Underwater,8,1,False,False,False,True,False,False,False,False,2025-06-24,2026-07-11,False,False,gnib.org,无评论功能,,
60,,https://www.rtl-sdr.com/,https://spacewavesgame.io/,Space Waves,44,221,True,False,True,True,False,False,False,False,2026-01-12,2026-02-01,False,True,rtl-sdr.com,游戏站,游戏网站,
60,Docteur Sangsue,http://unmetiercasappend.hautetfort.com/,https://elgoog.im/thanos/,elgoog.im/thanos/,113,187,False,False,False,True,False,False,False,False,2026-04-09,2026-06-04,False,True,hautetfort.com,评论网站,,
60,"लंबे समय से छिपे Google के ईस्टर एग्स, बहाल – elgooG",https://elgoog.in/,https://elgoog.im/,EN,24,48,False,False,False,True,False,False,False,False,2024-07-29,2026-05-07,False,True,elgoog.in,无评论功能,,
60,عرصہ دراز سے گمشدہ Google ایسٹر ایگز، بحال – elgooG,https://elgoog.pk/,https://elgoog.im/,EN,24,46,False,False,False,True,False,False,False,False,2025-03-15,2026-04-16,False,True,elgoog.pk,访问失败,,
59,Boomcatcher-小众好玩摸鱼网址导航,https://boomcatcher.com/,https://doodleroad.com/,,285,333,True,False,False,True,False,False,False,False,2025-07-02,2026-07-06,False,False,boomcatcher.com,无评论功能,,
59,Garvira & Partners | Web | Diseño | Marketing | Redes Sociales | Kit Digital,https://garvira.com/,https://elgoog.im/breakout/,red cooperativa digital red cooperativa digital,13,84,False,False,False,False,False,False,True,False,2026-04-13,2026-04-30,False,True,garvira.com,无评论功能,,
58,استعادة بيض الفصح من Google المدفونة – elgooG,https://elgoog.me/,https://elgoog.im/,DA,24,50,False,False,False,True,False,False,False,False,2026-05-21,2026-05-28,False,False,elgoog.me,无评论功能,,
58,Phục hồi các Easter egg của Google bị chôn vùi – elgooG,https://elgoog.vn/,https://elgoog.im/,SV,24,50,False,False,False,True,False,False,False,False,2026-05-10,2026-06-03,False,False,elgoog.vn,无评论功能,,
58,"오래 묻혀 있던 Google 이스터 에그, 복원 – 글구",https://geulgu.com/,https://elgoog.im/,SV,24,50,False,False,False,True,False,False,False,False,2026-05-10,2026-06-05,False,False,geulgu.com,无评论功能,,
58,摸鱼导航-摸鱼人的专属导航 （ 原：摸鱼.干不死）,https://moyu.games/,https://doodleroad.com/,,211,453,True,False,False,True,False,False,False,False,2025-05-31,2026-07-03,False,False,moyu.games,游戏站,游戏网站,
57,How to Build the Perfect Agave Spirits Collection for Your Home Bar,https://bevvy.co/articles/how-to-build-the-perfect-agave-spirits-collection-for-your-home-bar/23059,https://driftbossgame.io/,drift boss,20,138,True,False,True,True,False,False,False,False,2026-06-07,2026-07-11,False,False,bevvy.co,博客网站,,2026-05-27 22:37
57,20 Hidden Google Games You Should Play in 2025 | Beebom,https://beebom.com/google-games/,https://elgoog.im/zergrush/,Play Zerg Rush,31,42,True,False,False,True,False,False,False,False,2025-12-16,2026-07-12,False,False,beebom.com,游戏站,游戏网站,
56,暢玩 Chrome 恐龍遊戲 - elgooG,https://elgoog.hk/dinosaur-game/,https://elgoog.im/dinosaur-game/,EN,15,67,False,False,False,True,False,False,False,False,2025-12-13,2026-07-07,False,False,elgoog.hk,无评论功能,,
56,長らく埋もれていた Google のイースターエッグ、復活 – ルグーグ,https://rugugu.jp/,https://elgoog.im/,DA,24,50,False,False,False,True,False,False,False,False,2026-05-25,2026-07-07,False,True,rugugu.jp,无评论功能,,
56,63 Fascinating Google Search Statistics (Updated 2024),https://seotribunal.com/blog/google-stats-and-facts/,https://elgoog.im/tilt/,elgoog.im,67,59,False,False,False,True,False,False,False,False,2025-07-17,2026-07-12,False,False,seotribunal.com,评论网站,,
56,Os 23 melhores jogos escondidos no Google para você jogar agora! - Maiores e Melhores,https://www.maioresemelhores.com/melhores-jogos-escondidos-no-google/,https://elgoog.im/breakout/,Atari Breakout,13,51,True,False,False,True,False,False,False,False,2025-04-30,2026-06-29,False,False,maioresemelhores.com,无评论功能,,
55,Juega al juego del dinosaurio de Chrome - elgooG,https://elgoog.eu/es/dinosaur-game/,https://elgoog.im/dinosaur-game/,HI,8,76,False,False,False,True,False,False,False,False,2026-05-13,2026-07-03,False,True,elgoog.eu,无评论功能,,
54,Category:elgooG - Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:ElgooG,https://elgoog.im/,official website,38,57,True,False,False,True,False,False,False,False,2026-03-02,2026-06-06,False,False,wikimedia.org,访问失败,,
53,Life Update {What a Year!} - Stacy Risenmay,https://www.notjustahousewife.net/life-update-what-a-year/,https://spacewavesgame.io/,Space Waves,14,72,True,False,True,True,False,False,False,False,2026-01-19,2026-02-01,False,True,notjustahousewife.net,评论网站,,
52,,https://openix.io/tr/comodo-kod-imzalama-sertifikasi,https://elgoog.im/underwater,,0,0,False,False,False,True,False,False,False,False,2023-10-28,2026-02-23,False,True,openix.io,访问失败,,
52,Googleでザーグラッシュをプレイする方法,https://www.wikihow.jp/Google%E3%81%A7%E3%82%B6%E3%83%BC%E3%82%B0%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%82%92%E3%83%97%E3%83%AC%E3%82%A4%E3%81%99%E3%82%8B,https://elgoog.im/zergrush/,https://elgoog.im/zergrush/,14,96,True,False,False,True,False,False,False,False,2024-12-02,2026-01-31,False,True,wikihow.jp,无评论功能,,
52,Day 2905 by Bruce - Tookapic,https://tookapic.com/photos/992016,https://spacewavesgame.io/,spacewavesgame.io,2,33,True,False,False,True,False,False,False,False,2026-04-11,2026-06-03,False,False,tookapic.com,评论网站,,
51,Come giocare Zerg Rush su Google: 5 semplici passaggi,https://www.wikihow.it/Giocare-a-Zerg-Rush-su-Google,https://elgoog.im/zergrush,https://elgoog.im/zergrush,15,98,True,False,False,True,False,False,False,False,2025-07-31,2026-07-03,False,False,wikihow.it,无评论功能,,
50,O que significa GG em Jogos Online? Origem e Como Usar,https://psverso.com.br/guias/o-que-significa-gg/,https://elgoog.im/zergrush/,Zerg Rush,15,65,False,False,False,True,False,False,False,False,2024-08-27,2026-06-07,False,False,psverso.com.br,游戏站,游戏网站,
48,"Dr. Roger J. Lederer, Ornithologist",https://ornithology.com/author/roger/,https://driftbossgame.io/,Drift Boss,2,134,True,False,True,True,False,False,False,False,2026-07-06,2026-07-06,True,False,ornithology.com,访问失败,,
46,Startseite - Nonchalance Music,https://nonchalancemusic.de/,https://elgoog.im/doabarrelroll/,,17,7,False,False,False,False,False,False,True,False,2025-09-18,2026-07-09,False,False,nonchalancemusic.de,无评论功能,,
46,nampr,https://namprc.blogspot.com/%C2%A0,https://elgoog.im/,elgoog,50174,5,True,False,False,True,False,False,False,False,2024-02-18,2026-04-06,False,False,blogspot.com,访问失败,,
45,New Guide For Business Finance – The Art Of Managing Money INFOGRAPHICS - EXEIdeas – Let's Your Mind Rock,https://www.exeideas.com/2020/08/new-guide-for-business-finance-infographics.html,https://spacewavesgame.io/,Space Waves,25,137,True,False,True,True,False,False,False,False,2025-11-15,2026-02-25,False,True,exeideas.com,博客网站,,2026-02-01 02:31
